 Algoritmo,Tipo Vetor,Tamanho,Tempo(ms),Comparações,Trocas
Bolha,Ordenado,1000,5.37,499500,0
Bolha,Ordenado,5000,49.36,12497500,0
Bolha,Ordenado,10000,175.71,49995000,0
Bolha,Ordenado,15100,303.67,113997450,0
Bolha,Ordenado,20000,519.87,199990000,0
Bolha,Ordenado,25000,814.10,312487500,0
Bolha,Ordenado,30000,1164.99,449985000,0
Bolha,Ordenado,35000,1597.52,612482500,0
Bolha,Ordenado,40000,2031.08,799980000,0
Bolha,Ordenado,45000,2604.07,1012477500,0
Bolha,Ordenado,50000,3223.84,1249975000,0
Bolha,Decrescente,1000,8.88,499500,499500
Bolha,Decrescente,5000,57.93,12497500,12497500
Bolha,Decrescente,10000,209.88,49995000,49995000
Bolha,Decrescente,15100,512.17,113997450,113997450
Bolha,Decrescente,20000,856.54,199990000,199990000
Bolha,Decrescente,25000,1361.25,312487500,312487500
Bolha,Decrescente,30000,2018.22,449985000,449985000
Bolha,Decrescente,35000,2637.61,612482500,612482500
Bolha,Decrescente,40000,3466.50,799980000,799980000
Bolha,Decrescente,45000,4391.51,1012477500,1012477500
Bolha,Decrescente,50000,5483.95,1249975000,1249975000
Bolha,Aleatório,1000,2.07,499500,251338
Bolha,Aleatório,5000,59.85,12497500,6193466
Bolha,Aleatório,10000,256.90,49995000,25258715
Bolha,Aleatório,15100,637.02,113997450,57157272
Bolha,Aleatório,20000,1115.78,199990000,100056082
Bolha,Aleatório,25000,1796.20,312487500,155876503
Bolha,Aleatório,30000,2583.70,449985000,224698611
Bolha,Aleatório,35000,3545.67,612482500,307223574
Bolha,Aleatório,40000,4667.76,799980000,403204933
Bolha,Aleatório,45000,5874.03,1012477500,507788945
Bolha,Aleatório,50000,7262.60,1249975000,625159067
Bolha 2ª versão,Ordenado,1000,0.32,999,0
Bolha 2ª versão,Ordenado,5000,0.53,4999,0
Bolha 2ª versão,Ordenado,10000,0.57,9999,0
Bolha 2ª versão,Ordenado,15100,1.06,15099,0
Bolha 2ª versão,Ordenado,20000,0.14,19999,0
Bolha 2ª versão,Ordenado,25000,0.17,24999,0
Bolha 2ª versão,Ordenado,30000,0.25,29999,0
Bolha 2ª versão,Ordenado,35000,0.24,34999,0
Bolha 2ª versão,Ordenado,40000,0.79,39999,0
Bolha 2ª versão,Ordenado,45000,0.90,44999,0
Bolha 2ª versão,Ordenado,50000,0.34,49999,0
Bolha 2ª versão,Decrescente,1000,15.85,499500,499500
Bolha 2ª versão,Decrescente,5000,69.66,12497500,12497500
Bolha 2ª versão,Decrescente,10000,197.94,49995000,49995000
Bolha 2ª versão,Decrescente,15100,482.73,113997450,113997450
Bolha 2ª versão,Decrescente,20000,873.85,199990000,199990000
Bolha 2ª versão,Decrescente,25000,1233.36,312487500,312487500
Bolha 2ª versão,Decrescente,30000,1784.32,449985000,449985000
Bolha 2ª versão,Decrescente,35000,2422.80,612482500,612482500
Bolha 2ª versão,Decrescente,40000,3587.89,799980000,799980000
Bolha 2ª versão,Decrescente,45000,4173.54,1012477500,1012477500
Bolha 2ª versão,Decrescente,50000,5218.69,1249975000,1249975000
Bolha 2ª versão,Aleatório,1000,2.27,497484,261065
Bolha 2ª versão,Aleatório,5000,82.13,12492550,6306908
Bolha 2ª versão,Aleatório,10000,286.71,49991084,24812999
Bolha 2ª versão,Aleatório,15100,651.99,113991345,57210955
Bolha 2ª versão,Aleatório,20000,1165.85,199974424,99826494
Bolha 2ª versão,Aleatório,25000,1849.85,312463847,156389061
Bolha 2ª versão,Aleatório,30000,2628.83,449959349,225745906
Bolha 2ª versão,Aleatório,35000,3531.29,612480789,306057108
Bolha 2ª versão,Aleatório,40000,4526.21,799907990,398807555
Bolha 2ª versão,Aleatório,45000,5701.89,1012425819,505361307
Bolha 2ª versão,Aleatório,50000,6969.85,1249917030,624185051
Inserção,Ordenado,1000,0.35,999,0
Inserção,Ordenado,5000,0.68,4999,0
Inserção,Ordenado,10000,1.10,9999,0
Inserção,Ordenado,15100,0.34,15099,0
Inserção,Ordenado,20000,0.17,19999,0
Inserção,Ordenado,25000,0.27,24999,0
Inserção,Ordenado,30000,0.25,29999,0
Inserção,Ordenado,35000,0.28,34999,0
Inserção,Ordenado,40000,0.58,39999,0
Inserção,Ordenado,45000,0.35,44999,0
Inserção,Ordenado,50000,1.50,49999,0
Inserção,Decrescente,1000,5.31,499500,499500
Inserção,Decrescente,5000,35.79,12497500,12497500
Inserção,Decrescente,10000,112.90,49995000,49995000
Inserção,Decrescente,15100,281.87,113997450,113997450
Inserção,Decrescente,20000,455.38,199990000,199990000
Inserção,Decrescente,25000,711.62,312487500,312487500
Inserção,Decrescente,30000,1006.81,449985000,449985000
Inserção,Decrescente,35000,1463.70,612482500,612482500
Inserção,Decrescente,40000,1830.02,799980000,799980000
Inserção,Decrescente,45000,2322.66,1012477500,1012477500
Inserção,Decrescente,50000,2905.80,1249975000,1249975000
Inserção,Aleatório,1000,0.59,251144,250148
Inserção,Aleatório,5000,15.42,6259308,6254316
Inserção,Aleatório,10000,60.66,24939634,24929646
Inserção,Aleatório,15100,127.96,57227093,57212002
Inserção,Aleatório,20000,235.03,99411314,99391319
Inserção,Aleatório,25000,370.33,156401699,156376711
Inserção,Aleatório,30000,494.91,223702785,223672792
Inserção,Aleatório,35000,709.86,305644238,305609251
Inserção,Aleatório,40000,911.13,399272707,399232720
Inserção,Aleatório,45000,1141.93,506614581,506569595
Inserção,Aleatório,50000,1423.50,621595217,621545227
Seleção,Ordenado,1000,5.43,499500,0
Seleção,Ordenado,5000,34.18,12497500,0
Seleção,Ordenado,10000,120.29,49995000,0
Seleção,Ordenado,15100,260.44,113997450,0
Seleção,Ordenado,20000,377.81,199990000,0
Seleção,Ordenado,25000,618.91,312487500,0
Seleção,Ordenado,30000,852.78,449985000,0
Seleção,Ordenado,35000,1188.05,612482500,0
Seleção,Ordenado,40000,1619.85,799980000,0
Seleção,Ordenado,45000,1946.02,1012477500,0
Seleção,Ordenado,50000,2423.94,1249975000,0
Seleção,Decrescente,1000,6.21,499500,500
Seleção,Decrescente,5000,34.28,12497500,2500
Seleção,Decrescente,10000,98.31,49995000,5000
Seleção,Decrescente,15100,214.61,113997450,7550
Seleção,Decrescente,20000,417.14,199990000,10000
Seleção,Decrescente,25000,592.06,312487500,12500
Seleção,Decrescente,30000,884.03,449985000,15000
Seleção,Decrescente,35000,1183.69,612482500,17500
Seleção,Decrescente,40000,1533.56,799980000,20000
Seleção,Decrescente,45000,1969.07,1012477500,22500
Seleção,Decrescente,50000,2485.91,1249975000,25000
Seleção,Aleatório,1000,1.06,499500,991
Seleção,Aleatório,5000,27.95,12497500,4993
Seleção,Aleatório,10000,104.92,49995000,9986
Seleção,Aleatório,15100,223.55,113997450,15088
Seleção,Aleatório,20000,378.99,199990000,19987
Seleção,Aleatório,25000,619.93,312487500,24990
Seleção,Aleatório,30000,853.85,449985000,29992
Seleção,Aleatório,35000,1193.61,612482500,34990
Seleção,Aleatório,40000,1568.79,799980000,39991
Seleção,Aleatório,45000,1942.22,1012477500,44983
Seleção,Aleatório,50000,2420.85,1249975000,49992
